code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL021008,AL,56.173729099999996,PINUS NIGRA SSP SALZM.,1339.04,1232,1381,medium,5382.53,37.30827,-2.47255,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL021009,AL,57.896079,PINUS HALEPENSIS,1033.18,921,1182,low,4036.03,37.30176,-2.44102,NA,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,2
AL021010,AL,123.0934898,PINUS HALEPENSIS,1394.22,1257,1536,medium,8243.11,37.30162,-2.46987,NA,0,0,0,0,3,0,0,0,1,2,0,0,2,0,2,2,2,2,0,1,1,2,4,4,2,2
AL021011,AL,51.8138044,PINUS HALEPENSIS,1400.06,1272,1535,medium,5626.18,37.30053,-2.47723,NA,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,1,2,2,3,0,2,1,1,3,4,2,4
AL021012,AL,66.06541990000001,PINUS NIGRA SSP SALZM.,1440.03,1329,1497,medium,5145.73,37.29895,-2.41701,NA,5,0,0,2,3,1,0,1,3,1,1,1,1,0,1,1,1,2,2,0,1,2,3,4,2,2
AL021015,AL,18.0284403,PINUS NIGRA SSP SALZM.,1310.56,1085,1417,medium,2643.34,37.29369,-2.43111,NA,3,3,0,0,4,0,0,0,1,2,0,1,1,0,1,1,1,1,0,0,0,1,2,4,3,3
AL021016,AL,23.1243832,PINUS NIGRA SSP SALZM.,1491.34,1405,1564,medium,3324.63,37.29227,-2.47416,NA,0,0,0,0,2,1,0,0,1,1,0,0,1,1,1,1,2,3,0,1,2,0,3,2,2,4
AL021017,AL,18.6680997,PINUS NIGRA SSP SALZM.,1357.36,1269,1438,medium,2232.11,37.29964,-2.42159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,2,0,0,2,2,2,4,2,2
AL022001,AL,369.1311596,PINUS HALEPENSIS,578.96,383,753,verlow,12226.91,37.19132,-1.99444,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
AL022002,AL,339.5379697,PINUS HALEPENSIS,297.17,139,403,verlow,10523.55,37.16755,-1.96978,NA,1,0,0,0,2,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
AL023001,AL,123.9826562,PINUS SYLVESTRIS,2101.18,1870,2262,high,4861.6,37.07843,-2.81177,NA,1,0,0,0,1,1,0,0,NA,1,0,NA,0,1,0,0,0,2,3,1,0,0,0,0,0,2
AL023002,AL,281.2380924,PINUS NIGRA SSP AUSTR.,2087.5,1860,2312,high,20622.75,37.06854,-2.8301,NA,1,0,0,0,1,0,0,1,NA,1,0,NA,0,1,0,0,0,1,3,2,2,1,1,0,1,1
AL023003,AL,19.9820565,PINUS NIGRA SSP AUSTR.,1890.12,1804,1981,high,3444.87,37.06056,-2.82386,NA,1,0,0,0,1,0,0,1,NA,1,0,NA,0,0,0,0,0,2,4,2,1,1,2,0,2,2
AL023004,AL,164.9748353,PINUS NIGRA SSP AUSTR.,1706.99,1433,1916,high,7783.63,37.05904,-2.80623,NA,NA,NA,NA,NA,3,2,0,1,NA,1,0,NA,NA,1,0,1,0,3,3,1,2,0,1,0,2,2
AL023005,AL,15.7244515,PINUS NIGRA SSP AUSTR.,1869.59,1688,1915,high,4312.55,37.05645,-2.81134,NA,NA,NA,NA,NA,3,2,0,1,1,0,0,NA,1,1,0,0,0,2,5,2,1,0,2,0,1,2
AL023006,AL,31.3237049,PINUS NIGRA SSP AUSTR.,1803.95,1716,1894,high,3417.33,37.04932,-2.82948,2,1,0,0,1,3,0,0,1,1,1,0,NA,1,1,0,0,0,3,4,2,0,0,1,0,1,2
AL023007,AL,2.5206515,PINUS NIGRA SSP AUSTR.,1666.8,1643,1693,medium,829.37,37.05141,-2.79106,NA,1,0,0,1,3,0,0,0,NA,NA,1,NA,0,1,0,0,0,1,3,1,0,0,0,0,2,1
